latitude	longitude
54.4	43.0465
54.3607	43.0254
54.3273	43.0053
54.3063	42.9924
54.2545	42.9572
54.2535	42.9565
54.251	42.9545
54.2024	42.9173
54.1818	42.8998
54.153	42.8752
54.1091	42.8338
54.1053	42.8301
54.0986	42.8232
54.0592	42.782
54.0364	42.7556
54.0148	42.7308
53.9842	42.6919
53.9721	42.6766
53.9636	42.6647
53.9312	42.6192
53.893	42.5606
53.8919	42.5589
53.8909	42.5573
53.8543	42.4953
53.8188	42.4293
53.8185	42.4288
53.8182	42.4282
53.7844	42.3589
53.7574	42.298
53.7521	42.286
53.7455	42.2694
53.7216	42.2098
53.7059	42.1667
53.6928	42.1304
53.6727	42.0689
53.6658	42.0478
53.6622	42.0354
53.6407	41.9618
53.6255	41.904
53.6174	41.8726
53.6	41.7975
53.596	41.78
53.5944	41.7727
53.5764	41.684
53.5688	41.6414
53.5588	41.5845
53.5474	41.5101
53.5431	41.4815
53.5298	41.3788
53.5294	41.375
53.5273	41.3551
53.5177	41.2647
53.5162	41.2475
53.5082	41.1506
53.5059	41.1162
53.5008	41.0326
53.4986	40.9848
53.4957	40.9105
53.4942	40.8535
53.4929	40.7842
53.4926	40.7222
53.4927	40.6534
53.4935	40.5909
53.495	40.5178
53.4969	40.4596
53.5002	40.3771
53.5027	40.3283
53.5084	40.231
53.5108	40.197
53.52	40.0788
53.5211	40.0657
53.5273	40.0018
53.5338	39.9343
53.5353	39.9198
53.5487	39.803
53.5549	39.7531
53.5657	39.6717
53.5793	39.5778
53.5849	39.5404
53.6	39.4478
53.6063	39.4091
53.6092	39.3925
53.63	39.2778
53.6463	39.1941
53.6559	39.1465
53.6727	39.0678
53.684	39.0152
53.692	38.9804
53.7145	38.8838
53.7455	38.7602
53.7474	38.7525
53.7492	38.7458
53.7829	38.6212
53.8182	38.4989
53.8208	38.4899
53.824	38.4794
53.8615	38.3586
53.8909	38.2698
53.905	38.2273
53.93	38.1567
53.9515	38.096
53.9636	38.064
54.0013	37.9646
54.0364	37.8779
54.0545	37.8333
54.1091	37.7072
54.1114	37.702
54.1233	37.6764
54.1724	37.5707
54.1818	37.5517
54.238	37.4394
54.2545	37.4084
54.3087	37.3081
54.3273	37.2758
54.3853	37.1768
54.4	37.1532
54.4688	37.0455
54.4727	37.0397
54.4882	37.0175
54.5455	36.9353
54.5607	36.9141
54.6182	36.8391
54.6631	36.7828
54.6909	36.75
54.7389	36.6961
54.7636	36.6681
54.7792	36.6515
54.8364	36.5938
54.9029	36.5315
54.9091	36.5255
54.9151	36.5202
54.9818	36.4646
55.0346	36.425
55.0545	36.4095
55.0847	36.3889
55.1273	36.3609
55.1498	36.3481
55.2	36.3186
55.2537	36.292
55.2727	36.2821
55.331	36.2576
55.3455	36.2517
