X0	Y0
0.936871	-1.82047
0.935335	-1.80762
0.932564	-1.78739
0.931497	-1.77956
0.927473	-1.75339
0.927184	-1.7515
0.925852	-1.7437
0.922355	-1.72345
0.921352	-1.7182
0.917026	-1.69539
0.914197	-1.68179
0.91121	-1.66733
0.905997	-1.64417
0.904904	-1.63928
0.901804	-1.62647
0.898062	-1.61122
0.896392	-1.60491
0.890682	-1.58317
0.885237	-1.56384
0.882796	-1.55511
0.877756	-1.53824
0.874359	-1.52705
0.872302	-1.52069
0.865337	-1.499
0.857149	-1.47496
0.855791	-1.47094
0.853707	-1.46512
0.845606	-1.44289
0.839021	-1.42575
0.834849	-1.41483
0.829659	-1.40192
0.823454	-1.38677
0.817204	-1.37224
0.811419	-1.35872
0.805611	-1.34575
0.798707	-1.33066
0.789996	-1.31244
0.785315	-1.30261
0.781563	-1.29504
0.771156	-1.27455
0.757515	-1.24874
0.756296	-1.24649
0.753965	-1.24235
0.740556	-1.21844
0.733467	-1.20625
0.723989	-1.19038
0.709419	-1.16682
0.706557	-1.16232
0.697118	-1.14797
0.688127	-1.13427
0.685371	-1.1302
0.668626	-1.10621
0.661323	-1.09607
0.648016	-1.07816
0.637275	-1.06412
0.626185	-1.0501
0.613226	-1.03417
0.603001	-1.02204
0.589178	-1.00608
0.578308	-0.993988
0.56513	-0.979697
0.551917	-0.965932
0.541082	-0.954911
0.523603	-0.937876
0.517034	-0.931618
0.493092	-0.90982
0.492986	-0.909725
0.492689	-0.909473
0.468938	-0.889238
0.459708	-0.881764
0.44489	-0.870006
0.423201	-0.853707
0.420842	-0.851968
0.417151	-0.849402
0.396794	-0.835156
0.382346	-0.825651
0.372745	-0.819448
0.361709	-0.812776
0.348697	-0.804843
0.335935	-0.797595
0.324649	-0.791293
0.314948	-0.786277
0.300601	-0.778777
0.281405	-0.769539
0.276553	-0.76724
0.273422	-0.765886
0.252505	-0.756705
0.235816	-0.750069
0.228457	-0.747094
0.212997	-0.741483
0.204409	-0.73841
0.200792	-0.737264
0.180361	-0.730645
0.168095	-0.727173
0.156313	-0.723753
0.136984	-0.718933
0.132265	-0.71772
0.112385	-0.713427
0.108216	-0.712538
0.107322	-0.712383
0.0841683	-0.7082
0.0790761	-0.707486
0.0601202	-0.704677
0.0518553	-0.703784
0.0360721	-0.701954
0.0255542	-0.701156
0.012024	-0.700019
8.14152E-5	-0.699494
-0.012024	-0.698861
-0.024643	-0.698705
-0.0360721	-0.698468
-0.048689	-0.698707
-0.0601202	-0.698828
-0.0721184	-0.699429
-0.0841683	-0.699932
-0.0949852	-0.700807
-0.108216	-0.701768
-0.117337	-0.702786
-0.132265	-0.704327
-0.139218	-0.705315
-0.156313	-0.707602
-0.160663	-0.708351
-0.180361	-0.711583
-0.181707	-0.711856
-0.189798	-0.713427
-0.202309	-0.715876
-0.204409	-0.71627
-0.222514	-0.72036
-0.228457	-0.721654
-0.242396	-0.72522
-0.252505	-0.727727
-0.261977	-0.730432
-0.276553	-0.734483
-0.281277	-0.735972
-0.299185	-0.741483
-0.300304	-0.74183
-0.300601	-0.74192
-0.318938	-0.748147
-0.324649	-0.750045
-0.337341	-0.754732
-0.348697	-0.758847
-0.355528	-0.761571
-0.372745	-0.768324
-0.373508	-0.76865
-0.375615	-0.769539
-0.391146	-0.776128
-0.396794	-0.778489
-0.408583	-0.783841
-0.420842	-0.789335
-0.425848	-0.791755
-0.438061	-0.797595
-0.442898	-0.799919
-0.44489	-0.800866
-0.459669	-0.808409
-0.468938	-0.813095
-0.476294	-0.817069
-0.492304	-0.825651
-0.492771	-0.825902
-0.492986	-0.826017
-0.508944	-0.835089
-0.517034	-0.839659
-0.524991	-0.844424
-0.540573	-0.853707
-0.54091	-0.853909
-0.541082	-0.854011
-0.556541	-0.863728
-0.56513	-0.869109
-0.57206	-0.873679
-0.584349	-0.881764
-0.587434	-0.883798
-0.589178	-0.884947
-0.602567	-0.894199
-0.613226	-0.90156
-0.617599	-0.904719
-0.624656	-0.90982
-0.632442	-0.915458
-0.637275	-0.91896
-0.647111	-0.9264
-0.661323	-0.937169
-0.661684	-0.937454
-0.662217	-0.937876
-0.676009	-0.948798
-0.685371	-0.956236
-0.690239	-0.960252
-0.697094	-0.965932
-0.704298	-0.971906
-0.709419	-0.976174
-0.718194	-0.98375
-0.729985	-0.993988
-0.731981	-0.995722
-0.733467	-0.997022
-0.745552	-1.00794
-0.757515	-1.01884
-0.759038	-1.02027
-0.760914	-1.02204
-0.772313	-1.03284
-0.781563	-1.04167
-0.785483	-1.04553
-0.790089	-1.0501
-0.798476	-1.05842
-0.805611	-1.06558
-0.811335	-1.07148
-0.817745	-1.07816
-0.82404	-1.08471
-0.829659	-1.09064
-0.836591	-1.09812
-0.843982	-1.10621
-0.849002	-1.1117
-0.853707	-1.11692
-0.861248	-1.12547
-0.868895	-1.13427
-0.873357	-1.1394
-0.877756	-1.14454
-0.885298	-1.15353
-0.892565	-1.16232
-0.897099	-1.16781
-0.901804	-1.1736
-0.908734	-1.1823
-0.91507	-1.19038
-0.92022	-1.19695
-0.925852	-1.20427
-0.931545	-1.21179
-0.936479	-1.21844
-0.942709	-1.22683
-0.9499	-1.23671
-0.953721	-1.24204
-0.956854	-1.24649
-0.964552	-1.25745
-0.973948	-1.27112
-0.975245	-1.27304
-0.976251	-1.27455
-0.985735	-1.28885
-0.994649	-1.30261
-0.996089	-1.30483
-0.997996	-1.30785
-1.00624	-1.32104
-1.01211	-1.33066
-1.01623	-1.33744
-1.02204	-1.34724
-1.02604	-1.35405
-1.02872	-1.35872
-1.03566	-1.37089
-1.04449	-1.38677
-1.04512	-1.38791
-1.04609	-1.38972
-1.05435	-1.40519
-1.05936	-1.41483
-1.06341	-1.42268
-1.07014	-1.4361
-1.07228	-1.44039
-1.07349	-1.44289
-1.08092	-1.45837
-1.08678	-1.47094
-1.08937	-1.47657
-1.09419	-1.48735
-1.0976	-1.49502
-1.09932	-1.499
-1.1056	-1.51374
-1.11109	-1.52705
-1.11339	-1.53271
-1.11824	-1.54505
-1.12094	-1.55195
-1.12214	-1.55511
-1.12823	-1.5715
-1.13243	-1.58317
-1.1353	-1.59132
-1.14206	-1.61122
-1.14212	-1.61141
-1.14228	-1.61193
-1.14863	-1.63187
-1.15092	-1.63928
-1.15488	-1.65263
-1.15911	-1.66733
-1.16086	-1.67371
-1.16633	-1.69426
-1.16656	-1.69512
-1.16663	-1.69539
-1.1719	-1.71695
-1.17343	-1.72345
-1.17692	-1.73915
-1.17958	-1.7515
-1.18162	-1.76173
-1.18506	-1.77956
-1.18597	-1.78471
-1.18989	-1.80762
-1.18996	-1.80811
-1.19038	-1.81093
-1.19351	-1.83202
-1.19403	-1.83567
-1.19664	-1.85643
-1.19753	-1.86373
-1.19933	-1.88134
-1.20037	-1.89178
-1.20156	-1.9068
-1.20256	-1.91984
-1.20329	-1.93283
-1.20411	-1.9479
-1.20449	-1.9595
-1.20501	-1.97595
-1.2051	-1.98683
-1.20526	-2.00401
-1.2051	-2.0149
-1.20486	-2.03206
-1.20441	-2.04375
-1.20381	-2.06012
-1.20298	-2.07347
-1.20211	-2.08818
-1.20075	-2.10414
-1.19975	-2.11623
-1.19763	-2.13583
-1.19674	-2.14429
-1.19355	-2.16865
-1.19308	-2.17234
-1.19038	-2.18988
-1.18874	-2.2004
-1.1883	-2.20283
-1.18372	-2.22846
-1.18162	-2.23868
-1.17803	-2.25651
-1.17355	-2.27615
-1.17167	-2.28457
-1.16633	-2.30591
-1.16462	-2.31263
-1.16378	-2.3156
-1.15684	-2.34068
-1.15163	-2.35783
-1.14838	-2.36874
-1.14228	-2.38747
-1.13919	-2.39679
-1.13696	-2.403
-1.12924	-2.42485
-1.11888	-2.45216
-1.1186	-2.45291
-1.11824	-2.45381
-1.10712	-2.48096
-1.09567	-2.50729
-1.09493	-2.50902
-1.09419	-2.51064
-1.08186	-2.53707
-1.07014	-2.56096
-1.06804	-2.56513
-1.06466	-2.57153
-1.05331	-2.59319
-1.04609	-2.60638
-1.03772	-2.62124
-1.02204	-2.64803
-1.02128	-2.6493
-1.01922	-2.65259
-1.00381	-2.67735
-0.997996	-2.68641
-0.985384	-2.70541
-0.973948	-2.72215
-0.965951	-2.73347
-0.9499	-2.7556
-0.945453	-2.76152
-0.925852	-2.78703
-0.92382	-2.78958
-0.901804	-2.81665
-0.900975	-2.81764
-0.877756	-2.84465
-0.87683	-2.84569
-0.853707	-2.87118
-0.851288	-2.87375
-0.829659	-2.89636
-0.824243	-2.9018
-0.805611	-2.9203
-0.795578	-2.92986
-0.781563	-2.94308
-0.765164	-2.95792
-0.757515	-2.96478
-0.735164	-2.98399
-0.733467	-2.98545
-0.732838	-2.98597
-0.709419	-3.00515
-0.698084	-3.01403
-0.685371	-3.02393
-0.661902	-3.04141
-0.661323	-3.04184
-0.66098	-3.04208
-0.637275	-3.05889
-0.620649	-3.07014
-0.613226	-3.07515
-0.603673	-3.08129
-0.589178	-3.09061
-0.576784	-3.0982
-0.56513	-3.10532
-0.552975	-3.11238
-0.541082	-3.11929
-0.528444	-3.12625
-0.517034	-3.13254
-0.507281	-3.13763
-0.492986	-3.14509
-0.474296	-3.15431
-0.468938	-3.15695
-0.465163	-3.15871
-0.44489	-3.16814
-0.425905	-3.17646
-0.420842	-3.17867
-0.411829	-3.18236
-0.396794	-3.18854
-0.388892	-3.19158
-0.372745	-3.19777
-0.353706	-3.20458
-0.348697	-3.20636
-0.336393	-3.21042
-0.324649	-3.21431
-0.320124	-3.2157
-0.300601	-3.22163
-0.287952	-3.22518
-0.276553	-3.22833
-0.256941	-3.2333
-0.252505	-3.23441
-0.23454	-3.23848
-0.228457	-3.23986
